Arabia	place   
Yemen	place   
Lebanon	place   
Rome	place   
Babylon	place   
Persepolis	place   
Greece	place   
Mosque Tauris	place   
Persia	place   
Boghar	place   
Bactria	place   
Pegu	place   
the East	place   
Hirah	place   
Hirah	place   
bowers of Irem	place   
Universe	place   
the_world	place   
The Paradise of Irem	place   
Al_Ahkaf	place   
Hadramaut	place   
garden of Irem	place   
the desarts of Aden	place   
Arabia	place   
province of Hegiaz	place   
province of Hegiaz	place   
Red Hillock	place   
Red_Hillock	place   
the valley of Magaith	place   
the_world	place   
Al_Ahkaf	place   
Al_Ahkaf	place   
the East	place   
Mecca	place   
Mecca	place   
Jerusalem	place   
Mecca	place   
Red Hillock	place   
Egypt	place   
the whole earth	place   
Egypt	place   
the river Nilus	place   
the land Al-Said	place   
Abulfeda	place   
Ægypt	place   
the_world	place   
Bologna	place   
East Indies	place   
Egypt	place   
Ad	place   
Syria	place   
Ormus	place   
Damascus	place   
Irem	place   
the East	place   
Ad	place   
Mecca	place   
Mecca	place   
Red Hillock	place   
Irem	place   
Ad	place   
Ad	place   
Ad	place   
the_world	place   
Ocean	place   
Earth	place   
Ocean	place   
Earth	place   
Ocean	place   
Earth	place   
Araby	place   
Monaco	place   
Caucasus	place   
Ocean	place   
the Abyss	place   
the_world	place   
Arabia	place   
Tchama	place   
Naïd	place   
Arud	place   
Yemen	place   
Hejaz	place   
Arabia	place   
the Tree	place   
Persia	place   
Europe	place   
Persia	place   
Spain	place   
Syria	place   
the_world	place   
Babylon	place   
Bagdad	place   
the_world	place   
the_world	place   
Bagdad	place   
Babylon	place   
Babylon	place   
Bagdad	place   
Yemen	place   
Mecca	place   
Mecca	place   
Bombay	place   
Babylon	place   
Babylon	place   
Babylon	place   
Babylon	place   
the_world	place   
river Aldea	place   
Lisboa	place   
the_world	place   
Babylon	place   
Bagdad	place   
an Oriental city	place   
Aleppo	place   
Ispahan	place   
Paris	place   
Paris	place   
Ispahan	place   
Alexandria	place   
Bagdad	place   
the Tigris	place   
Seleucia	place   
Dar-al-Salam the City of Peace	place   
Bagdad	place   
Bagdad	place   
Haschemia	place   
Mecca	place   
the Temple at Mecca	place   
Mecca	place   
Bagdad	place   
Europe	place   
the East	place   
the East	place   
the West	place   
Persia	place   
Tauris	place   
Asia	place   
